User_ID,Movies_Watched
15,"King Kong, The Adventures of Sherlock Holmes, Fast Five, 1492: Conquest of Paradise, Terminator 3: Rise of the Machines, Jaws, The Love Bug, Project A, Big Fish, The Sting, To Kill a Mockingbird, Samurai II: Duel at Ichijoji Temple, A Better Tomorrow, Hancock, Dead Man Down, Heartbreak Ridge, Drop Zone, Starsky & Hutch, Ong-Bak"
16,"Harry Potter and the Deathly Hallows - Part 2, Mallrats, District 13, The Hunger Games: Catching Fire, Beetlejuice, Madagascar: Escape 2 Africa, Southpaw, Private Benjamin, Dark Shadows"
17,"Shanghai Noon, Harry Potter and the Prisoner of Azkaban, The Twilight Samurai, Psycho, Around the World in 80 Days, Dr. Dolittle, Maleficent, My Fair Lady, Annie Hall, Tora! Tora! Tora!, Tears of the Sun, Blood Diamond, Hot Rod, Cliffhanger, Godzilla, Men in Black, Ant-Man, The Man from U.N.C.L.E., X-Men: Apocalypse, Star Wars: Episode I - The Phantom Menace"
18,"The Secret of My Success, The Fugitive, American Beauty, Punch-Drunk Love, Star Trek II: The Wrath of Khan, Quantum of Solace, Star Trek: The Motion Picture, Easy Rider, Down Terrace, The Great Escape, The Usual Suspects, Jaws, National Lampoon's Animal House, The Karate Kid, Part II, The League of Gentlemen's Apocalypse, Pocahontas, Watchmen, Dawn of the Planet of the Apes"
19,"Intolerable Cruelty, Game of Death, Unforgiven, Blade Runner, On Her Majesty's Secret Service, Robin Hood: Prince of Thieves, Meet the Parents, The Dead Pool, Young Guns, My Fair Lady, A Few Good Men, Time Bandits, West Side Story, Miss Peregrine's Home for Peculiar Children, Harry Potter and the Prisoner of Azkaban"
20,"War of the Worlds, The Fearless Hyena, A Clockwork Orange, Bill & Ted's Bogus Journey, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Scarface, Midway, Ip Man 2, Up, Alice in Wonderland, Training Day, Beverly Hills Cop II, Hara-Kiri: Death of a Samurai, How the West Was Won, Love and Honor, Big, U.S. Marshals, Fargo, Ocean's Twelve, Duel"
21,"Gangs of New York, The Village, Man of Steel, Jack Reacher, The Amazing Spider-Man 2, Willow, Collateral"
22,"Guardians of the Galaxy, Easy Rider, Murder on the Orient Express, Hot Fuzz, Kiss Kiss Bang Bang, The Lives of Others, The Mask, Wheels on Meals, Conan the Destroyer, Ghost, Midway, Bonnie and Clyde, Invictus, Rocky III, Pearl Harbor, The Killer"
23,"The Golden Child, Evan Almighty, Annie Hall, Stealth, Up, Total Recall, The Theory of Everything, Django Unchained, Twister, Bill & Ted's Bogus Journey, Shogun's Samurai, The Adventures of Robin Hood, Private Benjamin, The Secret of My Success"
24,"Independence Day, Open Range, Rush Hour, Sicario, Beetlejuice, X-Men: Days of Future Past, We Are Marshall, Lethal Weapon 2, Dawn of the Dead, Anchorman: The Legend of Ron Burgundy, Zulu, Kung Fu Panda 3, All the President's Men, The Equalizer"
25,"Miami Vice, The Hunger Games, Shane, 12 Years a Slave, The Warlords, Big Fish, Shrek the Third, On the Waterfront, Outbreak, Spider-Man 3, Shanghai Knights, The Sting, King Kong, The Tale of Osaka Castle, Training Day, Lock, Stock and Two Smoking Barrels, Ant-Man, Mad Max Beyond Thunderdome, High-Rise, Das Boot"
26,"Inception, The Rock, Willow, The Secret of My Success, The Big Boss"
27,"Guys and Dolls, Mutiny on the Bounty, Armour of God, A Better Tomorrow II, Pirates of the Caribbean: Dead Man's Chest, Home Alone 2: Lost in New York, The Getaway, Ex Machina, The Twilight Samurai, Ocean's 11, Nippon tanjo, Dead Poets Society, The Jungle Book, The Longest Day, King Kong, The Hunger Games: Mockingjay - Part 2, Mad Max, Bad Santa, The Tale of Osaka Castle"
28,"Smokey and the Bandit II, Star Trek: The Motion Picture, Half a Loaf of Kung Fu, Goodbye, Mr. Chips, 300, Red Sonja, Snatch, Strange Days, The Simpsons Movie, Shrek, Star Trek, Casper, Avatar, The Little Mermaid"
29,"The BFG, 47 Samurai, Never Say Never Again, The Living Daylights, The Rocky Horror Picture Show, Monty Python's Life of Brian, Burn After Reading, Lone Wolf and Cub: Sword of Vengeance, Coogan's Bluff, Citizen Kane, Charlie Wilson's War, Revenge of the Pink Panther, Four Weddings and a Funeral, The Martian, Once Upon a Time in America, Gangs of New York, Broken Arrow, Rocky IV, Old Yeller"
30,"Die Hard: With A Vengeance, Jack Reacher: Never Go Back, Notting Hill, The Four Musketeers, Superman II, The Twilight Saga: Eclipse, Dead Man Down, John Wick, The Age of Innocence, A Room for Romeo Brass, Chappie, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, Spider-Man 3, Star Trek: First Contact, You Only Live Twice"
31,"National Treasure: Book of Secrets, Eyes Wide Shut, Stir Crazy, The Twilight Saga: Breaking Dawn - Part 1, Ironclad, The Mask, Batman Forever, Bee Movie, The Searchers, The Expendables, Evan Almighty, Chariots of Fire, Jurassic Park, Gentlemen Prefer Blondes, Cradle 2 the Grave"
32,"Tears of the Sun, Changeling, Rebel Without a Cause, The Good, the Bad and the Ugly, The Jerk, A Prophet, Junior, The Hound of the Baskervilles, Total Recall, 127 Hours, The Grapes of Wrath, Deepwater Horizon, Die Hard, 300, The Hurt Locker, La Dolce Vita, The Color Purple"
33,"Meet the Fockers, One Flew Over the Cuckoo's Nest, The Mask, The Punisher, Captain Blood, The Fast and the Furious: Tokyo Drift, Enter the Dragon, Deja Vu, Independence Day, All Quiet on the Western Front, The Jewel of the Nile, The Simpsons Movie, Never Say Never Again, Man of Steel, Passenger 57, Changeling, The Theory of Everything, Rashomon, Shogun's Samurai, Wedding Crashers"
34,"Apocalypse Now, A Field in England, Spider-Man 3, Aladdin, 1492: Conquest of Paradise, Blade: Trinity, Scarface, My Fair Lady, Harry Potter and the Half-Blood Prince, Zatoichi, The One, Strangers on a Train, Underworld: Evolution, The Robe, Thor, Batman Returns, Star Wars: Episode VI - Return of the Jedi, Harry Potter and the Deathly Hallows - Part 1, Stealth"
35,"Django Unchained, Sunshine, Footloose, Goldfinger, Enemy Mine, WarGames, Cinderella Man, Chasing Amy, The Parent Trap, The Lion King, Braveheart, Magnificent Bodyguards, Boogie Nights"
36,"West Side Story, Planet of the Apes, Passengers, Kagemusha, The Aviator, Deep Impact, Bonnie and Clyde, The Man with the Golden Gun, Beverly Hills Cop, X2, Pocahontas, Drunken Master, Batman, Jack Reacher, The Pelican Brief, Last Action Hero"
37,"Back to the Future Part II, Judgment at Nuremberg, Pale Rider, Collateral, Commando, Dawn of the Planet of the Apes, Deep Impact, Captain Blood, Snake and Crane Arts of Shaolin, Moonraker, Ride with the Devil, The Da Vinci Code, Butch Cassidy and the Sundance Kid, The Firm, Ip Man 2, True Grit"
38,"The Diary of Anne Frank, Madagascar, Twin Dragons, Labyrinth, Spartacus, Batman, Kiss of the Dragon, A Hard Day's Night, The Expendables 3, Trainspotting, The Last Temptation of Christ, Big, Chariots of Fire, Austin Powers: The Spy Who Shagged Me"
39,"The Bourne Identity, Lone Wolf and Cub: Baby Cart to Hades, Once Upon a Time in the Midlands, Harry Potter and the Deathly Hallows - Part 2, The Last Samurai, Around the World in 80 Days, Star Trek: Generations, The Other Boleyn Girl, Star Trek: First Contact"
40,"Interstellar, Cleopatra, Catch Me If You Can, Transformers, Iron Man, Underworld, Charlie's Angels: Full Throttle, Only God Forgives, Tootsie, Madagascar: Escape 2 Africa, Hitch, Hook, National Treasure: Book of Secrets, Alice in Wonderland, The Aviator"
41,"Cleopatra, Pete's Dragon, Casino, Pete's Dragon, Crouching Tiger, Hidden Dragon, Man of Steel"
42,"Bill & Ted's Excellent Adventure, Cocktail, The Great Escape, Shooter, The Amityville Horror, Final Fantasy: The Spirits Within, The Black Dahlia, The Village, The Amazing Spider-Man 2, Unforgiven, The Killer, 3:10 to Yuma"
43,"Fong Sai-yuk II, A Shot in the Dark, The Four Musketeers, Collateral, Underworld: Awakening, A Million Ways to Die in the West, The Incredible Hulk, Charlie and the Chocolate Factory, Merantau, The Assassination of Jesse James by the Coward Robert Ford, Centurion, Invictus, From Russia with Love, The Day After Tomorrow"
44,"Downfall, Casino Royale, Kung Fu Panda, Magnificent Bodyguards, The Chronicles of Narnia: Prince Caspian, Project A Part II"
45,"Departures, Magnum Force, Battle Royale, It's a Wonderful Life, Matchstick Men, The Last Samurai, Steve Jobs, The Public Enemy, Pirates of the Caribbean: On Stranger Tides, Cat on a Hot Tin Roof, X2, Othello"
46,"Die Hard 2, Mars Attacks!, Cinderella Man, Casino Royale, Intolerable Cruelty, Munich, Star Trek: Insurrection, Moulin Rouge, Dark Shadows, It's a Wonderful Life, Scott Pilgrim vs. the World, A Bug's Life"
47,"Drop Zone, The Girl Who Kicked the Hornets' Nest, The Master, Ice Age: The Meltdown, The Fifth Element, Charlie and the Chocolate Factory, Rush Hour 3, Lethal Weapon, Les Misérables, The Village, The Ten Commandments, Letters from Iwo Jima, The Grapes of Wrath, Rambo: First Blood Part II, Captain America: Civil War, Magnificent Bodyguards, It's a Mad, Mad, Mad, Mad World"
48,"Shallow Grave, Dr. No, Mars Attacks!, Madagascar: Escape 2 Africa, 9 to 5"
49,"The Blues Brothers, Sucker Punch, 2001: A Space Odyssey, Passenger 57, Life of Pi"
50,"The Wolf of Wall Street, Angels & Demons, The Hunchback of Notre Dame, Hot Rod, The King and I, Star Trek: Nemesis, G.I. Jane, The Jerk, Jarhead, Where Eagles Dare, Hulk, Tangled"
51,"Hard Boiled, Dog Day Afternoon, Rumble in the Bronx, Anna Karenina, Shrek 2, The Equalizer, Die Hard: With A Vengeance, E.T.: The Extra-Terrestrial, Assault on Precinct 13, Bruce Almighty, Jupiter Ascending, The Hobbit: The Battle of the Five Armies, Meet the Parents, The Rocky Horror Picture Show, Hot Shots!, Jurassic Park III, Alice in Wonderland, Rocky III, Gremlins"
52,"Iron Man 3, Enter the Dragon, Terms of Endearment, The Hunger Games: Mockingjay Part 1, Jason and the Argonauts, The Wolf of Wall Street, The Jewel of the Nile, Armageddon, Casino, Charlie Wilson's War, Lone Wolf and Cub: Baby Cart at the River Styx, The Three Musketeers, Signs, Rumble in the Bronx, Mars Attacks!, Project A, Magnificent Bodyguards, Collateral Damage, The Terminator, X-Men: Apocalypse"
53,"The Running Man, Once Were Warriors, House of Flying Daggers, The Killer, Das Boot, Unbroken, Dog Day Afternoon, South Pacific, RoboCop, Kindergarten Cop, Kramer vs. Kramer, Dumb and Dumber, Prisoners, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, For a Few Dollars More, American Gangster, Paint Your Wagon, Men in Black II"
54,"Armour of God II: Operation Condor, Ice Age: The Meltdown, Shakespeare in Love, Underworld: Blood Wars, The Blues Brothers, Night Watch, Charlie's Angels, A Better Tomorrow III, Silver Streak, Cyborg, Hannibal, Jingle All the Way, Stir Crazy, Harry Potter and the Order of the Phoenix, A Knight's Tale, Octopussy, Interview with the Vampire: The Vampire Chronicles, Cloudy with a Chance of Meatballs 2"
55,"Big Fish, Hercules in New York, Fantastic Voyage, Apollo 13, The Wizard of Oz, Inglourious Basterds, Brief Encounter, Jupiter Ascending, The Amazing Spider-Man, Vertigo, This Is England, District 13: Ultimatum, The Hidden Blade, Cat on a Hot Tin Roof, Anna Karenina, A Farewell to Arms, Star Trek IV: The Voyage Home, Ghostbusters"
56,"Rocky II, The Princess Bride, Anna Karenina, Munich, WALL-E, Scarface, Taxi Driver, A History of Violence, Lone Wolf and Cub: Baby Cart at the River Styx, The Godfather Part II, X2"
57,"Total Recall, The Running Man, Zatoichi, Ted, Planet of the Apes, Hulk, Black Death, 101 Dalmatians, Jack Reacher: Never Go Back, On Her Majesty's Secret Service, Straw Dogs, Ong-Bak 3, Black Hawk Down, The Replacement Killers, The Beach"
58,"Looper, The Hidden Blade, The Last Stand, Sightseers, The Vikings, Red Sonja, Pumping Iron, Unleashed, Tangled"
59,"The Lion King, Bee Movie, Deepwater Horizon, Kiss Kiss Bang Bang, City of God, Love and Honor, The Birds, The Twilight Saga: Breaking Dawn - Part 2"
60,"Mallrats, X2, Fantastic Beasts and Where to Find Them, Now You See Me, Cocktail, The Longest Day, Fargo, Zu Warriors from the Magic Mountain, On the Waterfront, Indiana Jones and the Last Crusade, Ransom, The Hidden Blade"
61,"Twin Dragons, Dragon Fist, xXx, Mr. Smith Goes to Washington, Terminator Genisys, A Better Tomorrow III, Thunderball, Casablanca, The Hound of the Baskervilles, The Hurt Locker, Equilibrium, Psycho, Dragon Tiger Gate, Young Guns II: Blaze of Glory"
62,"Edge of Tomorrow, Guys and Dolls, The Wild Bunch, Airport, The Ladykillers, Honey, I Shrunk the Kids, Eyes Wide Shut, Passengers, Hansel & Gretel: Witch Hunters, Singin' in the Rain, Indiana Jones and the Last Crusade, Jurassic Park III, Ex Machina"
63,"The Last of the Mohicans, City Slickers, Deepwater Horizon, One Hundred and One Dalmatians, Mad Max Beyond Thunderdome, The Lord of the Rings: Fellowship of the Ring, For a Few Dollars More, Star Trek II: The Wrath of Khan, Zoolander 2, The Towering Inferno, The Fast and the Furious: Tokyo Drift, Dog Day Afternoon, Mad Max, Kiss Kiss Bang Bang"
64,"Detective Dee and the Mystery of the Phantom Flame, End of Days, Toy Story 3, Star Trek III: The Search For Spock, Trading Places, Once Upon a Time in China III, The Jewel of the Nile, Toy Story, Chariots of Fire, Interstellar, Big Fish, Octopussy, Chappie"
65,"Sicario, Talladega Nights: The Ballad of Ricky Bobby, Viva Zapata!, Django Unchained, Rain Man, The Princess Bride, Drop Zone, Captain America: Civil War, The Age of Innocence, Apocalypse Now, Spies Like Us, The Last Temptation of Christ, Miss Peregrine's Home for Peculiar Children"
66,"Shanghai Knights, The Girl with the Dragon Tattoo, The Bourne Supremacy, Star Trek Into Darkness, RoboCop, Meet the Parents, Ran, In the Line of Fire, The League of Gentlemen's Apocalypse, The Graduate, How to Train Your Dragon, We Are Marshall, The Twilight Saga: Breaking Dawn - Part 2"
67,"The Village, Crocodile Dundee II, Blade, The Raid, Star Wars: Episode V - The Empire Strikes Back, A Better Tomorrow, Gone with the Wind, 2001: A Space Odyssey, In the Line of Fire, Sucker Punch, American Graffiti, Star Trek Beyond, Poltergeist"
68,"Kramer vs. Kramer, The Danish Girl, The Full Monty, The Flintstones, A Bridge Too Far, 12 Years a Slave, Iron Monkey, Click, 22 Jump Street, Clash of the Titans, The Dirty Dozen, The Bridge on the River Kwai, Robin Hood, Cinderella, Bram Stoker's Dracula, Beyond Outrage, Mission: Impossible - Ghost Protocol, Planet of the Apes, The Four Musketeers"
69,"Ong-Bak, Alien 3, The NeverEnding Story, Magic Mike, Police Story 2, Underworld, The Lord of the Rings: Fellowship of the Ring, Avatar, Magnificent Bodyguards, This Is England, The Alamo, Escape Plan, 10, Singin' in the Rain, Young Detective Dee: Rise of the Sea Dragon, Night of the Living Dead, Kill List"
70,"Captain America: Civil War, A Fistful of Dynamite, Pretty Woman, Transformers: Age of Extinction, Lone Wolf and Cub: Baby Cart in the Land of Demons, A Bug's Life, Hitch, Cross of Iron, Avengers: Age of Ultron, 3:10 to Yuma, Commando, Shrek Forever After, Signs, Magnum Force, Star Wars: Episode I - The Phantom Menace"
71,"Home Alone 2: Lost in New York, Rambo: First Blood Part II, The Expendables, Skyfall, 21 Jump Street, Assault on Precinct 13, Where Eagles Dare, The Day After Tomorrow, Spider-Man 2, John Wick, Cyborg, Flying Swords of Dragon Gate, Kiss of the Dragon, Pulp Fiction, Once Upon a Time in China"
72,"National Treasure: Book of Secrets, Tangled, Brooklyn's Finest, The Killer, Dinosaur, RoboCop, Outrage, Madagascar, Three Men and a Baby, Last Action Hero, Underworld: Evolution, Cinderella Man, Sherlock Holmes: A Game of Shadows, Zero Dark Thirty, Teenage Mutant Ninja Turtles, Mission: Impossible II, Around the World in 80 Days, The African Queen, Mission: Impossible - Rogue Nation"
73,"What's New Pussycat?, Stargate, Crocodile Dundee, Blade: Trinity, Around the World in 80 Days, Angels & Demons"
74,"Deja Vu, Kingsman: The Secret Service, Man on Wire, X-Men: The Last Stand, Men in Black 3, The Second Best Exotic Marigold Hotel, The Girl with the Dragon Tattoo, This Means War, Under Siege, Star Trek V: The Final Frontier, WarGames, The Perfect Storm, The Goonies, Rogue One: A Star Wars Story, Hellboy, On Her Majesty's Secret Service, Pirates of the Caribbean: Curse of the Black Pearl, Dune, Training Day, Les Misérables"
75,"Mandela: Long Walk to Freedom, Moulin Rouge, Jack Reacher: Never Go Back, Cars, Alien, The Longest Yard, The Girl Who Kicked the Hornets' Nest, Beauty and the Beast, Birdman, The Man from U.N.C.L.E., The Four Musketeers, Half a Loaf of Kung Fu, Star Trek V: The Final Frontier, Star Trek, Meet the Parents, Ant-Man, The Dark Knight Rises"
76,"The Hound of the Baskervilles, A Hard Day's Night, Doctor Strange, Harry Potter and the Philosopher's Stone, Annie Hall, 20,000 Leagues Under the Sea, The Girl Who Played with Fire"
77,"Labyrinth, The Incredible Hulk, Where Eagles Dare, The Mummy, From Here to Eternity, RocknRolla, The Hunger Games: Mockingjay - Part 2, Kingsman: The Secret Service"
78,"It's a Wonderful Life, Ip Man 3, The Hunger Games: Mockingjay Part 1, Godzilla, Predator, King Solomon's Mines, Bronson, Final Fantasy: The Spirits Within, Dawn of the Dead, Superman III, The Last King of Scotland, Space Cowboys, Shark Tale, Schindler's List, Meet the Parents, Black Hawk Down, The Parent Trap, The Danish Girl, Ice Age: Continental Drift, 21 Jump Street"
79,"Predator, Romeo Must Die, My Lucky Stars, Rush Hour 2, Crouching Tiger, Hidden Dragon, Star Trek: First Contact, Charlie's Angels, How to Train Your Dragon, Battle Royale, Detective Dee and the Mystery of the Phantom Flame, Swiss Family Robinson, The Three Musketeers, The Bourne Identity, Punch-Drunk Love"
80,"King Kong, Terms of Endearment, Tootsie, Ip Man, Enemy Mine, The Equalizer, Jingle All the Way, Honey, I Shrunk the Kids, Flashdance, Kill List, Hamlet, Charlie's Angels: Full Throttle"
81,"Saturday Night Fever, The Hunger Games, Letters from Iwo Jima, A Field in England, When the Last Sword Is Drawn, Snake and Crane Arts of Shaolin, Midnight Cowboy, Young Guns II: Blaze of Glory, Pete's Dragon, Around the World in 80 Days, Ted, Toy Story 3, High Society, Dumb and Dumber"
82,"The Bourne Ultimatum, Eraser, Stargate, From Russia with Love, The Warlords, Cradle 2 the Grave, Sanjuro, Windtalkers, Bill & Ted's Excellent Adventure, Basic Instinct, The Parent Trap, Deepwater Horizon, The Alamo, Convoy, King Kong vs. Godzilla, Samurai Reincarnation"
83,"Miami Vice, To Have and Have Not, Thor, Man on Wire, The Longest Yard, When the Last Sword Is Drawn, Gandhi"
84,"Cowboys & Aliens, The Charge of the Light Brigade, Twilight, How the West Was Won, Mission: Impossible, Convoy, Independence Day: Resurgence, The English Patient, Gremlins 2: The New Batch, Arthur, The Warlords, The Dark Knight, Last Action Hero"
85,"Who Framed Roger Rabbit?, Paint Your Wagon, On the Waterfront, Donnie Brasco, Batman Begins, When the Last Sword Is Drawn, Dumb and Dumber, Gentlemen Prefer Blondes, The Grapes of Wrath, 28 Weeks Later, Broken Arrow, Thunderball, Fargo, Sunshine"
86,"Ghost, Spider-Man 3, Time Bandits, Airport 1975, The Last Temptation of Christ, Three Men and a Baby, Pearl Harbor, Project A Part II, The Theory of Everything, Every Which Way but Loose, The Master, Joan of Arc, Lady and the Tramp, Junior, Trance, Troy, Alice in Wonderland"
87,"King Solomon's Mines, Magnificent Bodyguards, Ip Man 3, Sanjuro, King Kong, Mission: Impossible III, Centurion, Iron Man 3, Burn After Reading, Monsters, Inc., Samson and Delilah, Seven, The Fugitive, Rocky, The Parent Trap"
88,"Beowulf, The Hunchback of Notre Dame, Rebel Without a Cause, Bullitt, Sherlock Holmes, Centurion, House of Flying Daggers, E.T.: The Extra-Terrestrial, Deliverance, Hugo, Airplane!, Lone Wolf and Cub: Baby Cart to Hades, Anna Karenina, Outrage, The Ladykillers, J. Edgar, This Is England"
89,"The Best Exotic Marigold Hotel, Once Were Warriors, GoldenEye, Brief Encounter, Thunderball, Beetlejuice, The Three Musketeers, Cliffhanger, Under Siege, Maleficent, Transformers, Innerspace, Kiss of the Dragon, Happy Feet Two, Fantastic Voyage, Rio Bravo"
90,"Zoolander, A Better Tomorrow, Cars, Les Misérables, Super Size Me, Sleepless in Seattle, Hero, The Village, Swiss Family Robinson, Battleship, Hercules in New York, Olympus Has Fallen"
91,"28 Days Later, Magnificent Bodyguards, Stealth, Maleficent, Independence Day, North by Northwest, Samurai Reincarnation, Men in Black 3"
92,"Shutter Island, Big Fish, Julius Caesar, The Hound of the Baskervilles, John Wick, The Man with the Golden Gun, We Are Marshall, The Jewel of the Nile, Trading Places"
93,"The African Queen, Stealth, Burn After Reading, Schindler's List, Mesrine Part 1: Killer Instinct, Superman Returns, Monty Python and the Holy Grail, O Brother, Where Art Thou?, Rashomon"
94,"The Magnificent Seven, When the Last Sword Is Drawn, The Amazing Spider-Man, Spider-Man 2, Kung Fu Hustle, Crocodile Dundee II, Judgment at Nuremberg, Man of Steel, Death Warrant, Citizen Kane, Shallow Grave"
95,"Wedding Crashers, Underworld: Awakening, Spartacus, Man of Steel, Annie Get Your Gun, Mission: Impossible, Top Gun, Airport, Star Wars: Episode III - Revenge of the Sith, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, Hard Target, War and Peace, Die Hard 2, District 9, RoboCop, Slumdog Millionaire, Casino Royale, Windtalkers, The Four Musketeers"
96,"How the Grinch Stole Christmas, Merantau, Twins, Private Benjamin, Frankenstein, Deep Impact, An Officer and a Gentleman, X2, Burn After Reading, The Terminal"
97,"Rio Bravo, Outrage, Good Night, and Good Luck, The Fast and the Furious: Tokyo Drift, Clash of the Titans"
98,"Catwoman, The Godfather, The Kid, Midway, Paths of Glory, Pirates of the Caribbean: Dead Man's Chest, Airport 1975, Half a Loaf of Kung Fu, Winners and Sinners, The French Connection, Southpaw, Death Warrant, Unleashed, The Goonies"
99,"Star Wars: Episode III - Revenge of the Sith, Beowulf, Brooklyn's Finest, Close Encounters of the Third Kind, Brief Encounter"
100,"Passenger 57, The Jungle Book, Rocky II, Kung Fu Panda, Mulan, Warrior King, Lethal Weapon 2, Lethal Weapon 4, Pirates of the Caribbean: Dead Man's Chest, Dead Poets Society, Way of the Dragon, The Bourne Identity, Patton, The Bourne Supremacy, Abraham Lincoln: Vampire Hunter"
101,"2001: A Space Odyssey, Oliver!, Blood Diamond, Body of Lies, Innerspace, The Long Riders, Trance, Teenage Mutant Ninja Turtles"
102,"The Godfather Part II, Guardians of the Galaxy, Guys and Dolls, The Last Samurai, Revolver, Demolition Man, Footloose, Police Academy, Ice Age: Dawn of the Dinosaurs, Police Story 2, The Dark Knight, City of God, Mallrats, True Grit"
103,"Letters from Iwo Jima, Home Alone, The Mummy, Ip Man, Beverly Hills Cop II, The Cannonball Run, Shrek 2, The Parent Trap, Von Ryan's Express, The Lord of the Rings: Fellowship of the Ring, Dragons Forever, Kill Bill: Vol. 2, The Last Stand"
104,"Enemy Mine, Mad Max Beyond Thunderdome, Superman, John Wick, Hellboy, The Lost Boys, The Grapes of Wrath, Waterworld, Monsters University, Hercules in New York, Dead Poets Society, Man On Fire, Julius Caesar, The Fall of Ako Castle"
105,"Pete's Dragon, Boogie Nights, Moulin Rouge, Batman & Robin, Tomorrow Never Dies, A Fistful of Dollars, Zatoichi, Outlander, Star Trek: The Motion Picture, Fiddler on the Roof, Lone Wolf and Cub: Baby Cart at the River Styx, The Fast and the Furious: Tokyo Drift, Samurai III: Duel at Ganryu Island, A Million Ways to Die in the West, Bad Santa 2, Die Hard, The Ladykillers, Rocky III, Staying Alive"
106,"Ran, Rumble in the Bronx, Timecop, The Second Best Exotic Marigold Hotel, The Nutty Professor, Mars Attacks!, Trance, Enemy of the State, Donnie Brasco, Beverly Hills Cop, Star Wars: Episode VI - Return of the Jedi, A Bridge Too Far, Hamlet, Ong-Bak 3, The Expendables 2, Beverly Hills Cop II"
107,"Terminator 3: Rise of the Machines, Star Trek, Amelie, Monty Python's Life of Brian, Rashomon"
108,"Drop Zone, The Great Dictator, Superman, Bedknobs and Broomsticks, Duel, Junior, High Plains Drifter, The Shootist, Batman Forever, Die Hard: With A Vengeance, Beetlejuice, Despicable Me, The Full Monty, A Bridge Too Far, Sabotage, Back to the Future Part III, Southpaw"
109,"Star Trek: First Contact, Casino, Home Alone, Knight and Day, Labyrinth, The King's Speech, My Big Fat Greek Wedding, Matchstick Men, Dumb and Dumber, Apocalypse Now"
110,"The Mask, The Talk of the Town, For Your Eyes Only, Harry Potter and the Prisoner of Azkaban, The Bourne Identity, Skyfall, O Brother, Where Art Thou?, The Shootist"
111,"Demolition Man, Cyborg, The King of Comedy, Dinosaur, xXx, Harry Potter and the Order of the Phoenix, Murder on the Orient Express, Dawn of the Dead, The Terminator, Mad Max, Apocalypto, Burn After Reading, Conan the Barbarian, The NeverEnding Story, The Killers, Strangers on a Train, High Society, Signs"
112,"The Cannonball Run, Frankenstein, The Mummy Returns, Pretty Woman, Gone with the Wind"
